Device: cuda:0 (NVIDIA RTX 6000 Ada Generation)
Windows: 4944 train / 37 val | epochs=100 | forecast_mask=obs+drivers | exclude_time=['Discharge_CMS_lag_7', 'HoboWetDry0.05_lag_7']
RGCN_v2 input_dim=36 params=30,146
epoch   1/100  train=0.3496  val=0.4302  best=0.4302@1  12.9s *best*
epoch   2/100  train=0.1763  val=0.4019  best=0.4019@2  12.4s *best*
epoch   3/100  train=0.1344  val=0.4270  best=0.4019@2  12.4s
epoch   4/100  train=0.1162  val=0.4616  best=0.4019@2  12.5s
epoch   5/100  train=0.1062  val=0.4953  best=0.4019@2  12.4s
epoch   6/100  train=0.1019  val=0.5132  best=0.4019@2  12.5s
epoch   7/100  train=0.0982  val=0.5158  best=0.4019@2  12.4s
epoch   8/100  train=0.0962  val=0.5096  best=0.4019@2  12.9s
epoch   9/100  train=0.0935  val=0.4998  best=0.4019@2  13.2s
epoch  10/100  train=0.0918  val=0.4897  best=0.4019@2  13.1s
epoch  11/100  train=0.0894  val=0.4666  best=0.4019@2  12.4s
epoch  12/100  train=0.0886  val=0.4560  best=0.4019@2  12.4s
epoch  13/100  train=0.0862  val=0.4280  best=0.4019@2  12.4s
epoch  14/100  train=0.0856  val=0.4042  best=0.4019@2  12.4s
epoch  15/100  train=0.0843  val=0.3813  best=0.3813@15  12.5s *best*
epoch  16/100  train=0.0827  val=0.3639  best=0.3639@16  12.8s *best*
epoch  17/100  train=0.0814  val=0.3322  best=0.3322@17  13.0s *best*
epoch  18/100  train=0.0814  val=0.3151  best=0.3151@18  13.0s *best*
epoch  19/100  train=0.0802  val=0.2928  best=0.2928@19  13.0s *best*
epoch  20/100  train=0.0791  val=0.2709  best=0.2709@20  13.1s *best*
epoch  21/100  train=0.0790  val=0.2530  best=0.2530@21  13.1s *best*
epoch  22/100  train=0.0783  val=0.2390  best=0.2390@22  13.0s *best*
epoch  23/100  train=0.0776  val=0.2360  best=0.2360@23  13.1s *best*
epoch  24/100  train=0.0770  val=0.2229  best=0.2229@24  13.0s *best*
epoch  25/100  train=0.0768  val=0.2139  best=0.2139@25  13.0s *best*
epoch  26/100  train=0.0756  val=0.2137  best=0.2137@26  13.0s *best*
epoch  27/100  train=0.0758  val=0.2042  best=0.2042@27  13.0s *best*
epoch  28/100  train=0.0749  val=0.2035  best=0.2035@28  13.0s *best*
epoch  29/100  train=0.0742  val=0.2036  best=0.2035@28  13.0s
epoch  30/100  train=0.0745  val=0.1941  best=0.1941@30  13.0s *best*
epoch  31/100  train=0.0739  val=0.1933  best=0.1933@31  13.0s *best*
epoch  32/100  train=0.0740  val=0.1938  best=0.1933@31  13.0s
epoch  33/100  train=0.0735  val=0.1867  best=0.1867@33  13.0s *best*
epoch  34/100  train=0.0728  val=0.1904  best=0.1867@33  13.0s
epoch  35/100  train=0.0724  val=0.1834  best=0.1834@35  13.0s *best*
epoch  36/100  train=0.0721  val=0.1877  best=0.1834@35  13.0s
epoch  37/100  train=0.0723  val=0.1849  best=0.1834@35  13.0s
epoch  38/100  train=0.0716  val=0.1801  best=0.1801@38  13.0s *best*
epoch  39/100  train=0.0714  val=0.1785  best=0.1785@39  13.0s *best*
epoch  40/100  train=0.0712  val=0.1786  best=0.1785@39  13.0s
epoch  41/100  train=0.0709  val=0.1755  best=0.1755@41  13.0s *best*
epoch  42/100  train=0.0711  val=0.1727  best=0.1727@42  13.0s *best*
epoch  43/100  train=0.0702  val=0.1781  best=0.1727@42  13.2s
epoch  44/100  train=0.0705  val=0.1736  best=0.1727@42  13.2s
epoch  45/100  train=0.0699  val=0.1738  best=0.1727@42  13.0s
epoch  46/100  train=0.0694  val=0.1733  best=0.1727@42  13.0s
epoch  47/100  train=0.0701  val=0.1682  best=0.1682@47  13.0s *best*
epoch  48/100  train=0.0697  val=0.1700  best=0.1682@47  13.0s
epoch  49/100  train=0.0690  val=0.1691  best=0.1682@47  13.0s
epoch  50/100  train=0.0687  val=0.1709  best=0.1682@47  13.0s
epoch  51/100  train=0.0691  val=0.1730  best=0.1682@47  13.0s
epoch  52/100  train=0.0688  val=0.1657  best=0.1657@52  13.0s *best*
epoch  53/100  train=0.0682  val=0.1663  best=0.1657@52  13.0s
epoch  54/100  train=0.0686  val=0.1626  best=0.1626@54  13.0s *best*
epoch  55/100  train=0.0682  val=0.1661  best=0.1626@54  12.9s
epoch  56/100  train=0.0681  val=0.1664  best=0.1626@54  12.9s
epoch  57/100  train=0.0685  val=0.1664  best=0.1626@54  12.9s
epoch  58/100  train=0.0676  val=0.1619  best=0.1619@58  13.0s *best*
epoch  59/100  train=0.0673  val=0.1695  best=0.1619@58  13.0s
epoch  60/100  train=0.0672  val=0.1688  best=0.1619@58  13.0s
epoch  61/100  train=0.0676  val=0.1664  best=0.1619@58  13.0s
epoch  62/100  train=0.0673  val=0.1625  best=0.1619@58  13.0s
epoch  63/100  train=0.0672  val=0.1671  best=0.1619@58  13.0s
epoch  64/100  train=0.0664  val=0.1599  best=0.1599@64  13.0s *best*
epoch  65/100  train=0.0669  val=0.1638  best=0.1599@64  13.0s
epoch  66/100  train=0.0663  val=0.1653  best=0.1599@64  12.4s
epoch  67/100  train=0.0660  val=0.1645  best=0.1599@64  13.0s
epoch  68/100  train=0.0662  val=0.1605  best=0.1599@64  13.0s
epoch  69/100  train=0.0668  val=0.1627  best=0.1599@64  13.0s
epoch  70/100  train=0.0660  val=0.1647  best=0.1599@64  12.9s
epoch  71/100  train=0.0655  val=0.1652  best=0.1599@64  13.0s
epoch  72/100  train=0.0655  val=0.1605  best=0.1599@64  13.0s
epoch  73/100  train=0.0659  val=0.1585  best=0.1585@73  13.0s *best*
epoch  74/100  train=0.0658  val=0.1602  best=0.1585@73  13.1s
epoch  75/100  train=0.0654  val=0.1622  best=0.1585@73  13.0s
epoch  76/100  train=0.0652  val=0.1627  best=0.1585@73  13.0s
epoch  77/100  train=0.0652  val=0.1619  best=0.1585@73  13.0s
epoch  78/100  train=0.0654  val=0.1620  best=0.1585@73  13.0s
epoch  79/100  train=0.0651  val=0.1642  best=0.1585@73  13.0s
epoch  80/100  train=0.0648  val=0.1639  best=0.1585@73  13.0s
epoch  81/100  train=0.0649  val=0.1609  best=0.1585@73  13.0s
epoch  82/100  train=0.0648  val=0.1653  best=0.1585@73  13.0s
epoch  83/100  train=0.0649  val=0.1608  best=0.1585@73  13.0s
epoch  84/100  train=0.0647  val=0.1606  best=0.1585@73  13.0s
epoch  85/100  train=0.0648  val=0.1621  best=0.1585@73  13.0s
epoch  86/100  train=0.0649  val=0.1567  best=0.1567@86  13.1s *best*
epoch  87/100  train=0.0646  val=0.1607  best=0.1567@86  13.0s
epoch  88/100  train=0.0645  val=0.1597  best=0.1567@86  13.0s
epoch  89/100  train=0.0643  val=0.1640  best=0.1567@86  13.0s
epoch  90/100  train=0.0641  val=0.1634  best=0.1567@86  13.1s
