panel,feature,raw_importance,plot_importance,scaled_importance,sd
lr,Out-degree,4.140090391057079,4.140090391057079,1.0,
lr,wetdry_status,3.4544254195001463,3.4544254195001463,0.8343840576432768,
lr,Slope,-2.9987695650378825,2.9987695650378825,0.7243246600401433,
lr,aspect_se_pct,2.5934444583168808,2.5934444583168808,0.6264221824525679,
lr,aspect_ne_pct,-2.449137731096407,2.449137731096407,0.5915662460864953,
lr,sph,2.433181430037204,2.433181430037204,0.5877121512354095,
lr,rhmin,2.068056379189416,2.068056379189416,0.4995196200683397,
lr,rhmax,-1.743166479882677,1.743166479882677,0.42104551235114424,
lr,elev_min_cm,-1.5391838903402133,1.5391838903402133,0.3717754311995148,
lr,curv_mean,1.477245609364642,1.477245609364642,0.3568148204096241,
xgb,wetdry_status,0.816903293132782,0.816903293132782,1.0,
xgb,Out-degree,0.040024105459451675,0.040024105459451675,0.04899491369724274,
xgb,elev_min_cm,0.036469716578722,0.036469716578722,0.044643860310316086,
xgb,aspect_ne_pct,0.010387275367975235,0.010387275367975235,0.01271542813628912,
xgb,vp,0.008558922447264194,0.008558922447264194,0.0104772774502635,
xgb,slp_mean_pct,0.008065668866038322,0.008065668866038322,0.009873468428850174,
xgb,rhmax,0.007656219881027937,0.007656219881027937,0.009372247382998466,
xgb,rhmin,0.007632641587406397,0.007632641587406397,0.009343384765088558,
xgb,aspect_se_pct,0.007348092272877693,0.007348092272877693,0.0089950580149889,
xgb,LengthKM,0.005558540113270283,0.005558540113270283,0.006804404314607382,
lstm_hobo,wetdry_status,0.0950182201729626,0.0950182201729626,1.0,
lstm_hobo,aspect_ne_pct,0.013358638938939,0.013358638938939,0.14059028799552484,
lstm_hobo,Slope,0.0068473179349467,0.0068473179349467,0.07206320979789413,
lstm_hobo,aspect_se_pct,0.0065151829936866,0.0065151829936866,0.06856772292542365,
lstm_hobo,prcp,0.0049940880995785,0.0049940880995785,0.05255926800657507,
lstm_hobo,Out-degree,0.0033351274532357,0.0033351274532357,0.035099872920843336,
lstm_hobo,ArbolateSu,0.0016704413171728,0.0016704413171728,0.017580221078989683,
lstm_hobo,AreaSqKm,0.0016704413171728,0.0016704413171728,0.017580221078989683,
lstm_hobo,MaxDepth_cm,0.0016704413171728,0.0016704413171728,0.017580221078989683,
lstm_hobo,elev_mean_cm,0.0016704413171728,0.0016704413171728,0.017580221078989683,
lstm_all,wetdry_status,0.1054257588023769,0.1054257588023769,1.0,0.0087213120415838
lstm_all,aspect_ne_pct,0.0320703299358404,0.0320703299358404,0.30419823675120045,0.0030040732639503
lstm_all,Out-degree,0.0237776288039656,0.0237776288039656,0.22553908147379176,0.0018781883221295
lstm_all,rhmin,0.0207667650585384,0.0207667650585384,0.19697999136497749,0.0025043131623554
lstm_all,LengthKM,0.0109246334155764,0.0109246334155764,0.10362394864100419,0.0007035193769476
lstm_all,vp,0.0094730551964407,0.0094730551964407,0.08985522422654,0.001043753383603
lstm_all,prcp,0.0070565377922663,0.0070565377922663,0.06693371593837849,0.0015081875325316
lstm_all,rhmax,0.0067699304831772,0.0067699304831772,0.06421514590061046,0.0015309328217812
lstm_all,Slope,0.0066502834912969,0.0066502834912969,0.06308025255728077,0.0009005761215013
lstm_all,MaxDepth_cm,0.0056909296796573,0.0056909296796573,0.053980447893432607,0.0014555405765808
