Configuration,N,WetFrac,Accuracy,ROC-AUC,WetF1,DryF1,DryRecall,DryPrecision,BestEpoch,NSE_day1,KGE_day1,DischargeN_day1,NSE_day3,KGE_day3,DischargeN_day3
default_availability,908,0.7918502202643172,0.961453744493392,0.9856355461362416,0.9750889679715302,0.9148418491484184,0.9947089947089948,0.8468468468468469,49,0.7568287806498408,0.5835675663290047,1038,0.4798264150635066,0.4386187334308057,1054
do00,908,0.7918502202643172,0.961453744493392,0.9862904828134316,0.9750889679715302,0.9148418491484184,0.9947089947089948,0.8468468468468469,44,0.8159776058059907,0.7950911864816126,1038,0.4703048254076505,0.5654920480535209,1054
do03,908,0.7918502202643172,0.9625550660792952,0.9828539049679524,0.9758179231863442,0.9170731707317074,0.9947089947089948,0.8506787330316742,35,0.5942465949886434,0.318017074966464,1038,0.4080632048531738,0.2486358542719958,1054
fpw1,908,0.7918502202643172,0.9658590308370044,0.9871441081454988,0.977998580553584,0.9238329238329238,0.9947089947089948,0.8623853211009175,73,0.7441693470640898,0.5949570841507881,1038,0.4777859594142243,0.437711839457266,1054
fpw4,908,0.7918502202643172,0.961453744493392,0.986231612100875,0.9750889679715302,0.9148418491484184,0.9947089947089948,0.8468468468468469,55,0.7476004660952611,0.5858340493967222,1038,0.470855965868121,0.4447517443674086,1054
h128,908,0.7918502202643172,0.9680616740088106,0.984892303390217,0.9794762915782024,0.9280397022332506,0.9894179894179894,0.8738317757009346,16,0.7720442849264366,0.6695542853256273,1038,0.4811073600881991,0.5349284498552388,1054
h32,908,0.7918502202643172,0.9636563876651982,0.9852528865046252,0.9765791341376864,0.918918918918919,0.9894179894179894,0.8577981651376146,58,0.7628685395184533,0.6181577420403597,1038,0.4732059892421414,0.4794019662629017,1054
l05c10,908,0.7918502202643172,0.9570484581497798,0.9819561266014674,0.9724770642201837,0.9022556390977444,0.9523809523809524,0.8571428571428571,42,0.7345298427019831,0.5452545599983107,1038,0.477664227520964,0.4264194943986289,1054
l10c10,908,0.7918502202643172,0.959251101321586,0.986393506560405,0.9739619985925404,0.9063291139240506,0.9470899470899472,0.8689320388349514,49,0.7522964799552232,0.5912918067105715,1038,0.4779974289174644,0.4457504715824941,1054
lr3e3,908,0.7918502202643172,0.9658590308370044,0.9867467308357434,0.977998580553584,0.9238329238329238,0.9947089947089948,0.8623853211009175,25,0.7682058234118194,0.636481907440123,1038,0.4880084483734099,0.4740349159498755,1054
lr3e4,908,0.7918502202643172,0.961453744493392,0.9817427202684504,0.9750889679715302,0.9148418491484184,0.9947089947089948,0.8468468468468469,99,0.7412065675692774,0.5561404175821388,1038,0.4712524656314728,0.4247964601437178,1054
wd0,908,0.7918502202643172,0.961453744493392,0.9828612638070218,0.9752300070771408,0.913151364764268,0.9735449735449736,0.8598130841121495,26,0.7345355213887168,0.5427323161610282,1038,0.4621944280299418,0.4237210702465573,1054
wd1e3,908,0.7918502202643172,0.960352422907489,0.9853411925734596,0.9745042492917848,0.9108910891089108,0.9735449735449736,0.8558139534883721,55,0.7233496724046244,0.5231094700673921,1038,0.467678642619257,0.4235375415206379,1054
