feature,raw_importance,plot_importance
Out-degree,4.140090391057079,4.140090391057079
wetdry_status,3.4544254195001463,3.4544254195001463
Slope,-2.9987695650378825,2.9987695650378825
aspect_se_pct,2.5934444583168808,2.5934444583168808
aspect_ne_pct,-2.449137731096407,2.449137731096407
sph,2.433181430037204,2.433181430037204
rhmin,2.068056379189416,2.068056379189416
rhmax,-1.743166479882677,1.743166479882677
elev_min_cm,-1.5391838903402133,1.5391838903402133
curv_mean,1.477245609364642,1.477245609364642
slp_mean_pct,1.477245609364642,1.477245609364642
srad,1.4689998830079196,1.4689998830079196
prcp,1.2346121029752832,1.2346121029752832
MaxDepth_cm,-1.1603049218806532,1.1603049218806532
FromNode,1.1253740917688544,1.1253740917688544
elev_median_cm,-1.1125708312104996,1.1125708312104996
elev_mean_cm,-0.9505431651281888,0.9505431651281888
ToNode,0.9039404597871576,0.9039404597871576
tmin,-0.8953106542111199,0.8953106542111199
In-degree,0.8194636905198621,0.8194636905198621
elev_max_cm,0.7705157174356718,0.7705157174356718
vp,0.7607316264968434,0.7607316264968434
ws,0.7557238028468066,0.7557238028468066
AreaSqKm,0.6473439341885404,0.6473439341885404
curv_median,0.4951650718329365,0.4951650718329365
slp_median_pct,0.4951650718329365,0.4951650718329365
MaxDepth_Censor,-0.47881687995895594,0.47881687995895594
TotDASqKm,0.4681604976525437,0.4681604976525437
etalfalfa,-0.4410932070134636,0.4410932070134636
MaxDepth_Threshold,0.21023214085938755,0.21023214085938755
LengthKM,-0.1578508764037941,0.1578508764037941
tmax,-0.13305168296596845,0.13305168296596845
etgrass,0.12951620140309109,0.12951620140309109
aspect_nw_pct,0.07052730640566068,0.07052730640566068
ArbolateSu,0.06146609985701227,0.06146609985701227
aspect_sw_pct,-0.022973636862467638,0.022973636862467638
