feature,raw_importance,plot_importance
wetdry_status,4.848229501838232,4.848229501838232
Out-degree,3.1026640686111335,3.1026640686111335
Slope,-2.533952318908345,2.533952318908345
aspect_se_pct,1.8347742901951276,1.8347742901951276
rhmin,1.6558065648785192,1.6558065648785192
elev_min_cm,-1.5226374171389623,1.5226374171389623
aspect_ne_pct,-1.446566772384467,1.446566772384467
curv_mean,1.339204491492041,1.339204491492041
slp_mean_pct,1.339204491492041,1.339204491492041
elev_median_cm,-1.1408764934449387,1.1408764934449387
elev_mean_cm,-0.9711776220775994,0.9711776220775994
sph,0.8614883016533219,0.8614883016533219
FromNode,0.7973360595851462,0.7973360595851462
tmin,0.6580414640923755,0.6580414640923755
ToNode,0.6526030769981314,0.6526030769981314
elev_max_cm,0.6175077384730142,0.6175077384730142
aspect_nw_pct,-0.6020782153356523,0.6020782153356523
tmax,-0.5954264345902199,0.5954264345902199
prcp,0.54855553881711,0.54855553881711
MaxDepth_Censor,-0.543056548147749,0.543056548147749
AreaSqKm,0.4958439542805303,0.4958439542805303
etalfalfa,0.43601385455384645,0.43601385455384645
curv_median,0.4102449917739495,0.4102449917739495
slp_median_pct,0.4102449917739495,0.4102449917739495
rhmax,-0.39902412755907474,0.39902412755907474
ws,0.3227828169565843,0.3227828169565843
LengthKM,-0.32139139298731006,0.32139139298731006
srad,0.2539052644854055,0.2539052644854055
aspect_sw_pct,0.23608185343912813,0.23608185343912813
In-degree,0.23464392810981072,0.23464392810981072
TotDASqKm,0.22406010188805806,0.22406010188805806
etgrass,0.19950858145093095,0.19950858145093095
vp,0.15132999907929387,0.15132999907929387
MaxDepth_Threshold,0.0530538005166474,0.0530538005166474
ArbolateSu,-0.046176742217272373,0.046176742217272373
MaxDepth_cm,-0.015730212025023945,0.015730212025023945
