seed,method,reaches,n_observed,included,mean_interval_width,mean_absolute_count_error
42,platt_rho98,22,908,22,4.181818181818182,1.382984543379839
42,raw_unclipped,22,908,18,5.7727272727272725,2.991579189505909
43,platt_rho98,22,908,21,6.545454545454546,0.9354087787638964
43,raw_unclipped,22,908,15,6.681818181818182,3.236184524414092
44,platt_rho98,22,908,20,3.8636363636363638,1.3770581632558012
44,raw_unclipped,22,908,19,6.0,2.116082104094546
