seed,method,site,n,rho,rho_used,np,true,mean,lo,hi,ok
43,raw_unclipped,55000900029021,40,0.0,0.0,84,0.0,35.3458,25.0,46.0,False
43,raw_unclipped,55000900030173,43,0.0,0.0,77,0.0,21.9611,13.0,31.0,False
43,raw_unclipped,55000900096564,36,0.0,0.0,66,10.138888888888893,51.5865,39.0,65.0,False
43,raw_unclipped,55000900097164,41,1.0,1.0,83,258.17073170731703,334.3174,263.0,365.0,False
43,raw_unclipped,55000900097169,42,0.9999999999999998,0.9999999999999998,74,304.1666666666667,363.4471,353.0,365.0,False
43,raw_unclipped,55000900097170,48,1.0,1.0,81,349.7916666666667,355.0155,273.0,365.0,True
43,raw_unclipped,55000900099610,39,0.0,0.0,75,0.0,24.8279,16.0,35.0,False
43,raw_unclipped,55000900100137,40,1.0,1.0,69,328.5,357.1812,297.0,365.0,True
43,raw_unclipped,55000900131558,42,0.0,0.0,79,0.0,17.8927,10.0,26.0,False
43,raw_unclipped,55000900167054,41,0.0,0.0,73,0.0,18.4872,11.0,27.0,False
43,raw_unclipped,55000900167692,35,0.0,0.0,80,0.0,87.9462,73.0,104.0,False
43,raw_unclipped,55000900167704,41,0.0,0.0,84,0.0,19.3147,11.0,28.0,False
43,raw_unclipped,55000900201800,41,0.0,0.0,74,0.0,10.6219,5.0,17.0,False
43,raw_unclipped,55000900201811,43,0.0,0.0,84,0.0,12.7576,6.0,20.0,False
43,raw_unclipped,55000900202948,43,0.0,0.0,77,0.0,9.6664,4.0,16.0,False
43,raw_unclipped,55000900235848,41,0.0,0.0,84,0.0,13.2452,7.0,21.0,False
43,raw_unclipped,55000900236525,40,0.0,0.0,84,0.0,42.5922,31.0,55.0,False
43,raw_unclipped,55000900237668,48,0.9271726499455306,0.9271726499455306,64,319.375,330.0682,298.0,353.0,True
43,raw_unclipped,55000900271029,41,0.0,0.0,84,0.0,20.4838,12.0,30.0,False
43,raw_unclipped,55000900271635,42,0.0,0.0,77,0.0,44.2304,32.0,57.0,False
43,raw_unclipped,55000900272209,40,0.0,0.0,80,0.0,37.9618,27.0,50.0,False
43,raw_unclipped,55000900272714,41,0.0,0.0,78,0.0,9.1992,4.0,15.0,False
44,platt_rho98,55000900029021,40,0.0,0.0,84,0.0,2.7771,0.0,6.0,True
44,platt_rho98,55000900030173,43,0.0,0.0,77,0.0,2.3705,0.0,6.0,True
44,platt_rho98,55000900096564,36,0.0,0.0,66,10.138888888888893,7.1769,2.0,13.0,True
44,platt_rho98,55000900097164,41,1.0,0.98,83,258.17073170731703,318.1298,284.0,340.0,False
44,platt_rho98,55000900097169,42,0.9999999999999998,0.98,74,304.1666666666667,362.3183,337.0,365.0,False
44,platt_rho98,55000900097170,48,1.0,0.98,81,349.7916666666667,329.619,272.0,357.0,True
44,platt_rho98,55000900099610,39,0.0,0.0,75,0.0,2.4861,0.0,6.0,True
44,platt_rho98,55000900100137,40,1.0,0.98,69,328.5,354.4172,322.0,365.0,True
44,platt_rho98,55000900131558,42,0.0,0.0,79,0.0,3.2041,0.0,7.0,True
44,platt_rho98,55000900167054,41,0.0,0.0,73,0.0,2.4681,0.0,6.0,True
44,platt_rho98,55000900167692,35,0.0,0.0,80,0.0,13.5682,7.0,21.0,False
44,platt_rho98,55000900167704,41,0.0,0.0,84,0.0,2.6541,0.0,6.0,True
44,platt_rho98,55000900201800,41,0.0,0.0,74,0.0,2.3732,0.0,6.0,True
44,platt_rho98,55000900201811,43,0.0,0.0,84,0.0,2.3093,0.0,6.0,True
44,platt_rho98,55000900202948,43,0.0,0.0,77,0.0,2.3747,0.0,6.0,True
44,platt_rho98,55000900235848,41,0.0,0.0,84,0.0,2.5268,0.0,6.0,True
44,platt_rho98,55000900236525,40,0.0,0.0,84,0.0,2.9654,0.0,7.0,True
44,platt_rho98,55000900237668,48,0.9271726499455306,0.9271726499455306,64,319.375,358.7899,343.0,365.0,False
44,platt_rho98,55000900271029,41,0.0,0.0,84,0.0,2.8945,0.0,7.0,True
44,platt_rho98,55000900271635,42,0.0,0.0,77,0.0,3.9171,1.0,8.0,False
44,platt_rho98,55000900272209,40,0.0,0.0,80,0.0,3.1468,0.0,7.0,True
44,platt_rho98,55000900272714,41,0.0,0.0,78,0.0,2.356,0.0,6.0,True
44,raw_unclipped,55000900029021,40,0.0,0.0,84,0.0,9.716,4.0,16.0,False
44,raw_unclipped,55000900030173,43,0.0,0.0,77,0.0,3.9584,1.0,8.0,False
44,raw_unclipped,55000900096564,36,0.0,0.0,66,10.138888888888893,36.7223,26.0,49.0,False
44,raw_unclipped,55000900097164,41,1.0,1.0,83,258.17073170731703,321.2526,268.0,365.0,False
44,raw_unclipped,55000900097169,42,0.9999999999999998,0.9999999999999998,74,304.1666666666667,362.8047,338.0,365.0,False
44,raw_unclipped,55000900097170,48,1.0,1.0,81,349.7916666666667,300.5512,65.0,365.0,True
44,raw_unclipped,55000900099610,39,0.0,0.0,75,0.0,5.3089,1.0,10.0,False
44,raw_unclipped,55000900100137,40,1.0,1.0,69,328.5,348.8551,269.0,365.0,True
44,raw_unclipped,55000900131558,42,0.0,0.0,79,0.0,15.0082,8.0,23.0,False
44,raw_unclipped,55000900167054,41,0.0,0.0,73,0.0,5.1639,1.0,10.0,False
44,raw_unclipped,55000900167692,35,0.0,0.0,80,0.0,36.0978,25.0,48.0,False
44,raw_unclipped,55000900167704,41,0.0,0.0,84,0.0,7.8659,3.0,14.0,False
44,raw_unclipped,55000900201800,41,0.0,0.0,74,0.0,3.7045,1.0,8.0,False
44,raw_unclipped,55000900201811,43,0.0,0.0,84,0.0,3.2443,0.0,7.0,True
44,raw_unclipped,55000900202948,43,0.0,0.0,77,0.0,3.8104,1.0,8.0,False
44,raw_unclipped,55000900235848,41,0.0,0.0,84,0.0,6.0767,2.0,11.0,False
44,raw_unclipped,55000900236525,40,0.0,0.0,84,0.0,11.7427,6.0,19.0,False
44,raw_unclipped,55000900237668,48,0.9271726499455306,0.9271726499455306,64,319.375,349.7047,331.0,362.0,False
44,raw_unclipped,55000900271029,41,0.0,0.0,84,0.0,11.0765,5.0,18.0,False
44,raw_unclipped,55000900271635,42,0.0,0.0,77,0.0,21.1272,13.0,30.0,False
44,raw_unclipped,55000900272209,40,0.0,0.0,80,0.0,14.2273,8.0,22.0,False
44,raw_unclipped,55000900272714,41,0.0,0.0,78,0.0,3.6282,0.0,8.0,True
